STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10
48,78669,4878669,B5,G6350,S,361644669,23918120,+30.4300444,-098.1126548,N
48,78656,4878656,B5,G6350,S,55560781,304458,+29.9047585,-097.8072961,N
48,78655,4878655,B5,G6350,S,92420333,564687,+29.8160023,-097.8350416,N
48,78728,4878728,B5,G6350,S,21002465,47256,+30.4526741,-097.6893683,N
48,78739,4878739,B5,G6350,S,29613883,0,+30.1784193,-097.8886618,N
48,76530,4876530,B5,G6350,S,241929847,13273057,+30.7108572,-097.4138850,N
48,78621,4878621,B5,G6350,S,484332278,2480793,+30.3385840,-097.3612237,N
48,78644,4878644,B5,G6350,S,483329667,1847143,+29.8714708,-097.6767716,N
48,78666,4878666,B5,G6350,S,457268418,2434051,+29.8801625,-097.9661644,N
48,78759,4878759,B5,G6350,S,36045451,0,+30.4026543,-097.7610645,N
48,78703,4878703,B5,G6350,S,14451214,722351,+30.2932682,-097.7660504,N
48,78735,4878735,B5,G6350,S,53222108,502,+30.2681381,-097.8691896,N
48,78725,4878725,B5,G6350,S,45515870,1828078,+30.2302829,-097.6085209,N
48,78721,4878721,B5,G6350,S,9616066,46866,+30.2699693,-097.6835568,N
48,78738,4878738,B5,G6350,S,43968609,285113,+30.3197481,-097.9582244,N
48,78641,4878641,B5,G6350,S,327562016,5229126,+30.5625512,-097.9078968,N
48,78626,4878626,B5,G6350,S,240988906,2001263,+30.6591220,-097.6181946,N
48,78622,4878622,B5,G6350,S,2139161,30818,+29.7545210,-097.7758368,N
48,78619,4878619,B5,G6350,S,99103227,0,+30.1119151,-098.0335735,N
48,78744,4878744,B5,G6350,S,55420088,12136,+30.1770138,-097.7258883,N
48,78645,4878645,B5,G6350,S,81769244,16672062,+30.4499963,-097.9718056,N
48,78660,4878660,B5,G6350,S,117317488,63757,+30.4385336,-097.5945804,N
48,78664,4878664,B5,G6350,S,42896074,243742,+30.5017467,-097.6472057,N
48,78616,4878616,B5,G6350,S,284689372,685975,+29.9400664,-097.5682939,N
48,78640,4878640,B5,G6350,S,237402513,2187541,+29.9991034,-097.8282074,N
48,78652,4878652,B5,G6350,S,44786005,0,+30.1328058,-097.8746874,N
48,78748,4878748,B5,G6350,S,32825971,3309,+30.1671099,-097.8239982,N
48,78704,4878704,B5,G6350,S,22545278,286587,+30.2430316,-097.7650806,N
48,78751,4878751,B5,G6350,S,6208225,0,+30.3107828,-097.7227573,N
48,78757,4878757,B5,G6350,S,12731650,0,+30.3515377,-097.7325711,N
48,78613,4878613,B5,G6350,S,72746761,365945,+30.5039488,-097.8242003,N
48,78750,4878750,B5,G6350,S,34704358,577,+30.4185567,-097.8025447,N
48,78732,4878732,B5,G6350,S,34322161,7904823,+30.3778895,-097.8950234,N
48,78736,4878736,B5,G6350,S,75077422,0,+30.2610836,-097.9594347,N
48,76574,4876574,B5,G6350,S,368798460,8385020,+30.5793270,-097.3886221,N
48,78620,4878620,B5,G6350,S,442905661,1136277,+30.2241345,-098.1348147,N
48,78737,4878737,B5,G6350,S,98923962,4561,+30.1903209,-097.9569890,N
48,78727,4878727,B5,G6350,S,22212535,879,+30.4299366,-097.7177960,N
48,78746,4878746,B5,G6350,S,58258653,2362500,+30.2954237,-097.8083505,N
48,78742,4878742,B5,G6350,S,14853922,524663,+30.2423539,-097.6592003,N
48,78734,4878734,B5,G6350,S,51899338,11131728,+30.3783499,-097.9512094,N
48,78612,4878612,B5,G6350,S,243038259,1463995,+30.0940978,-097.4951043,N
48,78753,4878753,B5,G6350,S,28404279,0,+30.3824810,-097.6734669,N
48,78754,4878754,B5,G6350,S,34325144,7168,+30.3556568,-097.6446825,N
48,78756,4878756,B5,G6350,S,4329936,0,+30.3222297,-097.7401667,N
48,78705,4878705,B5,G6350,S,5687340,0,+30.2943334,-097.7385167,N
48,78733,4878733,B5,G6350,S,29670128,711252,+30.3210251,-097.8847510,N
48,78719,4878719,B5,G6350,S,48311283,2110,+30.1837976,-097.6842748,N
48,78726,4878726,B5,G6350,S,28152254,34415,+30.4307494,-097.8400853,N
48,78730,4878730,B5,G6350,S,37269755,1196694,+30.3704563,-097.8358438,N
48,78634,4878634,B5,G6350,S,164868324,1051713,+30.5600415,-097.5461241,N
48,78717,4878717,B5,G6350,S,33330352,218230,+30.4923787,-097.7483125,N
48,78602,4878602,B5,G6350,S,501409011,9662778,+30.1238203,-097.3277099,N
48,78617,4878617,B5,G6350,S,179717734,1188267,+30.1509847,-097.6073119,N
48,78953,4878953,B5,G6350,S,237068113,536865,+29.8440132,-097.3579956,N
48,78662,4878662,B5,G6350,S,206747913,96503,+29.9320715,-097.4117090,N
48,78676,4878676,B5,G6350,S,437638949,236329,+30.0344492,-098.1427764,N
48,78610,4878610,B5,G6350,S,239275955,919588,+30.0785138,-097.8380124,N
48,78758,4878758,B5,G6350,S,24044717,0,+30.3879795,-097.7068531,N
48,78749,4878749,B5,G6350,S,26078450,456,+30.2161683,-097.8560062,N
48,78747,4878747,B5,G6350,S,61578835,15434,+30.1269664,-097.7399693,N
48,78653,4878653,B5,G6350,S,271878667,1298449,+30.3396958,-097.5235117,N
48,78752,4878752,B5,G6350,S,8658632,0,+30.3318177,-097.7042940,N
48,78731,4878731,B5,G6350,S,22253088,551387,+30.3482358,-097.7681364,N
